,Attrition_flag
Age,-0.1592050068657796
DailyRate,-0.05665199186762935
DistanceFromHome,0.07792358295570366
Education,-0.03137281964004929
EnvironmentSatisfaction,-0.10336897833793603
HourlyRate,-0.006845549572139923
JobInvolvement,-0.13001595678605368
JobLevel,-0.1691047509310276
JobSatisfaction,-0.1034811260690213
MonthlyIncome,-0.15983958238498855
MonthlyRate,0.01517021253047147
NumCompaniesWorked,0.04349373905781363
PercentSalaryHike,-0.013478202057439121
PerformanceRating,0.002888751711080879
RelationshipSatisfaction,-0.04587227888112669
StockOptionLevel,-0.13714491893332553
TotalWorkingYears,-0.17106324613622617
TrainingTimesLastYear,-0.05947779855642056
WorkLifeBalance,-0.06393904721740888
YearsAtCompany,-0.13439221398997703
YearsInCurrentRole,-0.1605450042677008
YearsSinceLastPromotion,-0.033018775142584306
YearsWithCurrManager,-0.1561993159016288
Attrition_flag,1.0
